filename-1,filename-2,similarity,title-1,year-1,month-1,day-1,title-2,year-2,month-2,day-2,topic_1,year_1,month_1,day_1,topic_2,year_2,month_2,day_2
2021-06-25_4478.txt,2023-02-27_3709.txt,0.3000657890559629,Israeli settlers refuse to vacate illegal West Bank settlement,2021,6,25,"In West Bank, settler violence forcing out Palestinian Bedouins",2023,2,27,0,2021.0,6.0,25.0,0,2023.0,2.0,27.0
2022-10-25_3901.txt,2022-11-24_3871.txt,0.3001397149399882,Thousands mourn Palestinians killed by Israel in Nablus,2022,10,25,"‘Anger, sadness’: Thousands mourn Palestinians killed by Israel",2022,11,24,0,2022.0,10.0,25.0,0,2022.0,11.0,24.0
2022-10-12_3913.txt,2023-08-11_3382.txt,0.3002276285894587,Israeli forces kill Palestinian in West Bank: Ministry,2022,10,12,"Israeli forces kill Palestinian, wound eight, in occupied West Bank raid",2023,8,11,0,2022.0,10.0,12.0,0,2023.0,8.0,11.0
2022-12-08_3851.txt,2023-02-14_3733.txt,0.3002988380016384,"Israel kills three Palestinians in Jenin, general strike called",2022,12,8,Two Palestinians killed in latest Israeli raids in West Bank,2023,2,14,0,2022.0,12.0,8.0,0,2023.0,2.0,14.0
2022-12-12_3848.txt,2023-02-21_3724.txt,0.3004514156387498,Israeli forces kill Palestinian teen in occupied West Bank raid,2022,12,12,Palestinian teen succumbs to Israeli gunshot wounds,2023,2,21,0,2022.0,12.0,12.0,0,2023.0,2.0,21.0
2022-06-25_4074.txt,2022-08-19_3988.txt,0.3007179204083494,Israeli forces kill Palestinian teenager in occupied West Bank,2022,6,25,Israeli forces kill Palestinian man in occupied West Bank village,2022,8,19,0,2022.0,6.0,25.0,0,2022.0,8.0,19.0
2023-01-30_3759.txt,2023-06-20_3500.txt,0.3007623665512287,Jenin refugee camp residents defiant after deadly Israeli assault,2023,1,30,Why does Israel keep raiding the Jenin refugee camp?,2023,6,20,0,2023.0,1.0,30.0,0,2023.0,6.0,20.0
2022-03-08_4269.txt,2022-04-19_4234.txt,0.3008599693412769,Israeli troops demolish Palestinian homes in West Bank,2022,3,8,Palestinians injured after Israeli settlers march to outpost,2022,4,19,0,2022.0,3.0,8.0,0,2022.0,4.0,19.0
2021-09-30_4362.txt,2022-06-09_4095.txt,0.3009243750956943,Israeli forces kill three Palestinians in separate incidents,2021,9,30,Israeli forces kill Palestinian man in occupied West Bank,2022,6,9,0,2021.0,9.0,30.0,0,2022.0,6.0,9.0
2022-10-14_3911.txt,2022-10-20_3905.txt,0.3010086350994126,Two Palestinians killed by Israeli forces in Jenin,2022,10,14,"Palestinians strike in West Bank, Jerusalem over Israel killings",2022,10,20,0,2022.0,10.0,14.0,0,2022.0,10.0,20.0
2023-06-06_3523.txt,2023-06-15_3510.txt,0.3010257613200792,Hundreds of Palestinians bury toddler killed by Israeli forces,2023,6,6,Israel says Palestinian toddler killed ‘unintentionally’,2023,6,15,0,2023.0,6.0,6.0,0,2023.0,6.0,15.0
2022-08-09_4009.txt,2022-09-25_3933.txt,0.3010480321791879,Israeli forces kill al-Aqsa Brigades commander in Nablus raid,2022,8,9,Second Palestinian killed in Nablus by Israeli forces in 24 hours,2022,9,25,0,2022.0,8.0,9.0,0,2022.0,9.0,25.0
2021-06-25_4478.txt,2023-03-03_3697.txt,0.3012078092575163,Israeli settlers refuse to vacate illegal West Bank settlement,2021,6,25,Israeli settler attacks against Palestinians by the numbers,2023,3,3,0,2021.0,6.0,25.0,0,2023.0,3.0,3.0
2023-01-05_3808.txt,2023-02-14_3733.txt,0.3012821832874675,Israeli forces kill 16-year-old Palestinian in Nablus,2023,1,5,Two Palestinians killed in latest Israeli raids in West Bank,2023,2,14,0,2023.0,1.0,5.0,0,2023.0,2.0,14.0
2022-11-24_3871.txt,2023-01-16_3793.txt,0.3013284858029915,"‘Anger, sadness’: Thousands mourn Palestinians killed by Israel",2022,11,24,Israeli army kills Palestinian boy in the occupied West Bank,2023,1,16,0,2022.0,11.0,24.0,0,2023.0,1.0,16.0
2022-10-12_3913.txt,2024-01-15_1384.txt,0.30143401886733,Israeli forces kill Palestinian in West Bank: Ministry,2022,10,12,Israeli forces kill three Palestinians in occupied West Bank,2024,1,15,0,2022.0,10.0,12.0,0,2024.0,1.0,15.0
2023-01-19_3788.txt,2023-01-30_3760.txt,0.3015705390674357,Teacher among two Palestinians killed by Israeli forces in Jenin,2023,1,19,Israeli forces kill Palestinian man in Hebron as tensions spiral,2023,1,30,0,2023.0,1.0,19.0,0,2023.0,1.0,30.0
2022-08-26_3980.txt,2023-11-06_2546.txt,0.3017263796822056,Israel drops prosecution of Jewish settler who killed Palestinian,2022,8,26,"Who are Israeli settlers, and why do they live on Palestinian lands?",2023,11,6,0,2022.0,8.0,26.0,0,2023.0,11.0,6.0
2023-07-21_3407.txt,2023-08-04_3390.txt,0.3019374051455073,Israeli forces kill two Palestinian teens in occupied West Bank,2023,7,21,"Two Palestinians killed by Israeli army, settlers in West Bank violence",2023,8,4,0,2023.0,7.0,21.0,0,2023.0,8.0,4.0
2023-11-06_2546.txt,2023-11-16_2282.txt,0.3019482792715055,"Who are Israeli settlers, and why do they live on Palestinian lands?",2023,11,6,The Occupied West Bank: The Other Front,2023,11,16,0,2023.0,11.0,6.0,0,2023.0,11.0,16.0
2023-01-27_3770.txt,2023-01-28_3768.txt,0.3021103950103223,Gunman kills 7 people in occupied East Jerusalem attack,2023,1,27,Israel’s Netanyahu vows ‘swift response’ to Jerusalem attack,2023,1,28,0,2023.0,1.0,27.0,0,2023.0,1.0,28.0
2022-09-05_3967.txt,2023-07-25_3403.txt,0.3027144707300949,Israeli forces kill Palestinian teenager in occupied West Bank,2022,9,5,Three Palestinians killed by Israeli forces in occupied West Bank,2023,7,25,0,2022.0,9.0,5.0,0,2023.0,7.0,25.0
2023-01-25_3780.txt,2023-01-26_3778.txt,0.3027690401697133,Israeli forces kill two Palestinians in Jerusalem and West Bank,2023,1,25,Israel raids: Why are so many Palestinians being killed?,2023,1,26,0,2023.0,1.0,25.0,0,2023.0,1.0,26.0
2022-06-25_4074.txt,2022-06-29_4073.txt,0.3027793479653247,Israeli forces kill Palestinian teenager in occupied West Bank,2022,6,25,Israeli forces kill Palestinian fighter in occupied West Bank,2022,6,29,0,2022.0,6.0,25.0,0,2022.0,6.0,29.0
2023-01-19_3788.txt,2023-02-06_3743.txt,0.3027905623794434,Teacher among two Palestinians killed by Israeli forces in Jenin,2023,1,19,Israeli forces kill five Palestinians in Jericho raid,2023,2,6,0,2023.0,1.0,19.0,0,2023.0,2.0,6.0
2023-01-30_3759.txt,2023-02-23_3716.txt,0.3028835196550559,Jenin refugee camp residents defiant after deadly Israeli assault,2023,1,30,‘Catastrophic’: Palestinians recount fatal Israeli raid on Nablus,2023,2,23,0,2023.0,1.0,30.0,0,2023.0,2.0,23.0
2023-07-26_3400.txt,2023-07-26_3401.txt,0.3032883324371933,Palestinian teen killed by Israeli forces in occupied West Bank,2023,7,26,Israeli troops kill Palestinian man during West Bank raid,2023,7,26,0,2023.0,7.0,26.0,0,2023.0,7.0,26.0
2023-01-12_3796.txt,2023-01-25_3780.txt,0.3033283007938133,Israel kills 3 Palestinians as raids continue in West Bank,2023,1,12,Israeli forces kill two Palestinians in Jerusalem and West Bank,2023,1,25,0,2023.0,1.0,12.0,0,2023.0,1.0,25.0
2021-11-05_4327.txt,2021-11-16_4321.txt,0.3034128728194785,Israeli forces kill Palestinian boy in occupied West Bank,2021,11,5,Israeli forces kill Palestinian man in occupied West Bank,2021,11,16,0,2021.0,11.0,5.0,0,2021.0,11.0,16.0
