year,month,day,length,title,file,Topic,Count,topic_1,topic_2,topic_3,topic_4,Topic_Name
2024,2,20,17,US vetoes another UN Security Council resolution urging Gaza war ceasefire,2024-02-20_1009.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2024,2,21,17,World slams US ceasefire veto at UN Security Council on Israel’s Gaza war,2024-02-21_1005.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2024,2,21,17,Can Israel be stopped from using starvation as a weapon of war?,2024-02-21_993.txt,35,23,aid,food,famine,gaza,"aid, food, famine"
2023,12,11,18,"What’s UN Resolution 377A, can it help in efforts to stop Israel-Gaza war?",2023-12-11_1814.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,12,11,18,What is the global strike demanding an end to Israeli war on Gaza?,2023-12-11_1816.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,12,11,18,WHO calls for immediate passage of humanitarian relief into Gaza,2023-12-11_1822.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2024,4,8,18,Khan Younis ‘smells like death’ as Palestinians return to devastated homes,2024-04-08_104.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2024,4,8,18,UN Security Council refers Palestine’s full membership bid to committee,2024-04-08_95.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,10,28,18,"Mass graves, unclaimed bodies: Israel’s war robs Gazans of funeral rites",2023-10-28_2766.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,28,18,"Communication blackout, fuel shortages worsen the situation in Gaza",2023-10-28_2770.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,28,18,"Mass graves, unclaimed bodies: Israel’s war robs Gazans of funeral rites",2023-10-28_2766.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,28,18,"Communication blackout, fuel shortages worsen the situation in Gaza",2023-10-28_2770.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,16,18,"Hamas warns of environmental crisis as 1,000 bodies still under Gaza rubble",2023-10-16_3100.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,30,18,Heavy clashes as Israeli tanks briefly reach Gaza City outskirts,2023-10-30_2732.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,30,18,"Nameless on Earth, known in heaven: Victims of Israeli bombs buried in Gaza",2023-10-30_2735.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,27,18,UN says Gaza Health Ministry death tolls in previous wars ‘credible’,2023-10-27_2793.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,27,18,Israeli bombing levels a residential square on Gaza City’s Jalaa Street,2023-10-27_2811.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,27,18,"Israeli air strikes kill dozens in Gaza overnight, Palestinian sources say",2023-10-27_2816.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,27,18,UNGA calls for humanitarian truce in Israel-Gaza war: How countries voted,2023-10-27_2787.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,10,27,18,United Nations votes overwhelmingly in favour of humanitarian truce in Gaza,2023-10-27_2789.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,10,27,18,"As the UN votes on the Israel-Gaza war, Palestine can only observe",2023-10-27_2817.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,11,15,18,"As Israel’s war on Gaza rages, humanitarian crisis worsens",2023-11-15_2323.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,11,15,18,UN Security Council adopts resolution for ‘humanitarian pauses’ in Gaza,2023-11-15_2305.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,10,31,18,"Shopping, queuing for bread, looking for water: Life in Gaza City continues",2023-10-31_2685.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,31,18,Photos: Dozens killed in Israeli air attack on Jabalia refugee camp in Gaza,2023-10-31_2689.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,31,18,Dozens killed in Israeli air attack on Jabalia refugee camp: Gaza official,2023-10-31_2693.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,31,18,"In Rafah, Israeli bombing shatters buildings, shatters lives",2023-10-31_2697.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,14,18,Palestinians fleeing Gaza’s north face air attacks in southern Khan Younis,2023-10-14_3127.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
2023,10,14,18,Russia’s UN ambassador calls for ceasefire in Israel-Hamas conflict,2023-10-14_3133.txt,15,52,resolution,council,un,ceasefire,"resolution, council, un"
2023,11,2,18,Gaza authorities say 15 killed in Israeli strike on Bureij refugee camp,2023-11-02_2635.txt,5,101,gaza,people,killed,younis,"gaza, people, killed"
